Student Enrolment Key,Unit of Study Identifier,Semester,Mode of Study,Gender,Age Category,Dom/Int,Mark,Canvas access Week 1,Canvas access Week 2,Canvas access Week 3,Canvas access Week 4,Canvas access Week 5,Canvas access Week 6,Canvas access Week 7,Canvas access Week 8,Canvas access Week 9,Canvas access Week 10,Canvas access Week 11,Canvas access Week 12,Canvas access Week 13,Canvas access Mid-semester break,Canvas access STUVAC
28,UNIT O,1,Full Time,M,18 and Under,Domestic,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,UNIT Y,1,Full Time,F,19-21,Domestic,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,UNIT S,2,Full Time,M,18 and Under,International,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
31,UNIT G,2,Full Time,M,19-21,Domestic,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,UNIT H,2,Full Time,M,19-21,International,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,UNIT X,2,Full Time,F,19-21,International,51,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
34,UNIT Y,1,Full Time,M,18 and Under,Domestic,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,UNIT G,2,Full Time,F,19-21,Domestic,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,UNIT A,1,Full Time,M,19-21,Domestic,50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,UNIT S,2,Full Time,M,19-21,International,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,UNIT O,1,Full Time,F,19-21,Domestic,39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,UNIT H,2,Full Time,M,19-21,International,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,UNIT O,1,Full Time,F,19-21,International,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,UNIT S,1,Full Time,M,19-21,International,85,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,UNIT O,1,Full Time,M,18 and Under,Domestic,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,UNIT H,2,Full Time,M,18 and Under,Domestic,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,UNIT Q,2,Full Time,F,19-21,International,45,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,UNIT W,2,Full Time,M,19-21,International,50,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
46,UNIT X,1,Full Time,M,19-21,Domestic,89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,UNIT S,1,Full Time,M,19-21,International,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,UNIT K,1,Full Time,F,19-21,Domestic,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,UNIT O,1,Full Time,F,19-21,International,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,UNIT G,2,Full Time,F,18 and Under,Domestic,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,UNIT O,1,Full Time,F,19-21,International,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,UNIT Q,2,Full Time,M,19-21,International,64,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
53,UNIT O,1,Full Time,M,19-21,Domestic,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
54,UNIT X,1,Full Time,F,19-21,Domestic,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,UNIT T,2,Full Time,F,19-21,International,91,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
56,UNIT O,1,Full Time,F,Over 25,International,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,UNIT O,1,Full Time,M,19-21,Domestic,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,UNIT V,2,Full Time,M,19-21,International,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,UNIT T,2,Full Time,F,19-21,Domestic,83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,UNIT K,1,Full Time,F,18 and Under,Domestic,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,UNIT V,2,Full Time,M,19-21,Domestic,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,UNIT V,2,Full Time,F,19-21,International,33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,UNIT O,1,Full Time,F,19-21,Domestic,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,UNIT A,1,Full Time,F,19-21,Domestic,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,UNIT O,1,Full Time,M,18 and Under,Domestic,36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,UNIT H,2,Full Time,M,18 and Under,Domestic,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,UNIT X,1,Full Time,M,18 and Under,Domestic,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,UNIT O,1,Full Time,M,19-21,International,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,UNIT Y,1,Full Time,M,19-21,Domestic,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,UNIT Y,1,Full Time,M,18 and Under,Domestic,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,UNIT H,2,Full Time,F,19-21,Domestic,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,UNIT S,1,Full Time,F,19-21,Domestic,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,UNIT C,1,Part Time,F,22-25,Domestic,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,UNIT H,2,Full Time,M,18 and Under,International,46,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
75,UNIT S,1,Full Time,F,18 and Under,Domestic,83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,UNIT O,1,Full Time,M,19-21,International,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,UNIT S,2,Full Time,F,19-21,International,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,UNIT V,2,Part Time,M,19-21,Domestic,57,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
79,UNIT M,1,Full Time,M,19-21,International,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,UNIT G,2,Full Time,F,18 and Under,Domestic,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,UNIT H,2,Full Time,M,19-21,International,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,UNIT S,1,Full Time,M,18 and Under,Domestic,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,UNIT S,1,Full Time,M,19-21,Domestic,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,UNIT X,1,Full Time,M,19-21,Domestic,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
85,UNIT H,2,Full Time,M,19-21,International,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,UNIT Q,2,Full Time,F,18 and Under,Domestic,72,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
87,UNIT H,2,Full Time,M,19-21,Domestic,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,UNIT C,1,Full Time,F,19-21,Domestic,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,UNIT K,1,Full Time,F,18 and Under,Domestic,50,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
90,UNIT K,1,Full Time,F,19-21,International,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,UNIT S,1,Full Time,F,18 and Under,International,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,UNIT V,2,Full Time,M,22-25,International,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,UNIT Q,2,Full Time,F,18 and Under,Domestic,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,UNIT X,2,Full Time,M,19-21,International,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,UNIT S,1,Full Time,F,19-21,Domestic,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,UNIT G,2,Full Time,M,19-21,International,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,UNIT O,1,Full Time,M,19-21,International,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,UNIT X,2,Full Time,F,18 and Under,Domestic,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,UNIT W,2,Full Time,M,19-21,International,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,UNIT T,2,Full Time,M,19-21,Domestic,63,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,UNIT G,2,Full Time,F,19-21,International,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
102,UNIT K,1,Full Time,M,22-25,Domestic,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,UNIT G,2,Full Time,F,19-21,Domestic,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,UNIT K,1,Full Time,M,19-21,Domestic,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,UNIT G,2,Full Time,F,19-21,Domestic,70,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
106,UNIT H,2,Full Time,F,18 and Under,Domestic,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,UNIT G,2,Full Time,F,19-21,Domestic,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,UNIT S,1,Full Time,M,19-21,Domestic,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,UNIT V,2,Full Time,M,19-21,International,73,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
110,UNIT Q,2,Full Time,M,18 and Under,Domestic,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,UNIT S,2,Part Time,M,19-21,Domestic,50,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1
112,UNIT Q,2,Full Time,M,22-25,International,39,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1
113,UNIT G,2,Full Time,F,19-21,Domestic,57,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0
114,UNIT S,1,Full Time,M,19-21,Domestic,83,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0
115,UNIT S,1,Full Time,M,19-21,International,34,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,UNIT O,1,Full Time,F,19-21,International,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,UNIT O,1,Full Time,M,19-21,Domestic,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,UNIT K,1,Full Time,M,Over 25,Domestic,84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,UNIT S,1,Full Time,F,18 and Under,Domestic,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,UNIT O,1,Full Time,M,19-21,International,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
121,UNIT Q,2,Full Time,F,19-21,Domestic,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,UNIT S,1,Full Time,M,18 and Under,Domestic,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,UNIT Q,2,Full Time,F,19-21,International,55,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1
124,UNIT Z,1,Full Time,F,19-21,Domestic,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,UNIT S,2,Full Time,M,19-21,International,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,UNIT M,1,Full Time,M,19-21,International,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,UNIT O,1,Full Time,F,19-21,International,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128,UNIT K,1,Full Time,M,22-25,International,75,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
129,UNIT Y,1,Full Time,M,19-21,International,72,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
130,UNIT Y,1,Full Time,M,18 and Under,Domestic,83,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
131,UNIT O,1,Full Time,M,19-21,Domestic,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,UNIT X,1,Full Time,M,19-21,International,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,UNIT O,1,Full Time,M,19-21,International,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,UNIT H,2,Full Time,M,Over 25,Domestic,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
135,UNIT Q,2,Full Time,F,19-21,Domestic,40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
136,UNIT C,1,Full Time,M,19-21,Domestic,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
137,UNIT O,1,Full Time,F,19-21,International,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,UNIT O,1,Full Time,F,19-21,International,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,UNIT H,2,Full Time,F,19-21,International,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,UNIT O,1,Full Time,M,19-21,Domestic,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,UNIT H,2,Full Time,F,19-21,International,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
142,UNIT S,2,Full Time,M,18 and Under,Domestic,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,UNIT K,1,Full Time,F,19-21,Domestic,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,UNIT S,1,Full Time,F,19-21,Domestic,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,UNIT V,2,Full Time,M,19-21,International,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,UNIT V,2,Full Time,M,19-21,International,25,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
147,UNIT G,2,Full Time,F,19-21,Domestic,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,UNIT V,2,Full Time,M,19-21,International,69,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
149,UNIT C,1,Full Time,F,19-21,International,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,UNIT S,1,Full Time,M,19-21,International,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,UNIT V,2,Full Time,M,19-21,Domestic,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,UNIT V,2,Full Time,F,19-21,Domestic,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,UNIT O,1,Part Time,M,22-25,Domestic,19,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
154,UNIT X,2,Full Time,M,Over 25,International,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,UNIT O,1,Full Time,F,18 and Under,Domestic,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,UNIT O,1,Part Time,M,19-21,Domestic,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,UNIT W,2,Full Time,M,19-21,International,75,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
158,UNIT O,1,Full Time,F,19-21,Domestic,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159,UNIT S,2,Full Time,M,19-21,International,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,UNIT K,1,Full Time,F,19-21,Domestic,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
161,UNIT X,1,Full Time,M,18 and Under,Domestic,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,UNIT K,1,Full Time,M,19-21,Domestic,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,UNIT O,1,Full Time,M,19-21,Domestic,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,UNIT O,1,Full Time,M,19-21,Domestic,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,UNIT G,2,Full Time,M,18 and Under,International,85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,UNIT Y,1,Full Time,F,19-21,Domestic,83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,UNIT T,2,Full Time,M,19-21,Domestic,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168,UNIT Q,2,Full Time,F,19-21,Domestic,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,UNIT S,2,Full Time,F,19-21,International,64,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
170,UNIT O,1,Full Time,M,19-21,Domestic,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171,UNIT S,1,Full Time,M,19-21,International,77,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
172,UNIT S,2,Full Time,M,19-21,International,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,UNIT Q,2,Full Time,F,19-21,Domestic,18,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
174,UNIT T,2,Full Time,M,19-21,International,82,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,UNIT S,2,Full Time,M,19-21,Domestic,61,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1
176,UNIT S,1,Full Time,M,19-21,International,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
177,UNIT O,1,Full Time,F,18 and Under,Domestic,79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178,UNIT C,1,Full Time,F,19-21,Domestic,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,UNIT O,1,Full Time,M,19-21,International,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180,UNIT W,2,Full Time,M,22-25,Domestic,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
181,UNIT O,1,Full Time,M,19-21,International,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182,UNIT G,2,Full Time,F,19-21,Domestic,58,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
183,UNIT Q,2,Full Time,F,19-21,Domestic,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
184,UNIT O,1,Full Time,F,19-21,International,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,UNIT Q,2,Full Time,M,19-21,Domestic,79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
186,UNIT H,2,Full Time,F,19-21,Domestic,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
187,UNIT S,2,Full Time,M,19-21,International,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
188,UNIT O,1,Full Time,M,19-21,Domestic,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189,UNIT S,2,Full Time,M,19-21,International,60,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
190,UNIT H,2,Full Time,F,19-21,Domestic,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191,UNIT V,2,Full Time,M,18 and Under,Domestic,81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192,UNIT O,1,Full Time,F,19-21,International,59,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193,UNIT G,2,Full Time,F,19-21,International,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
194,UNIT O,1,Full Time,F,22-25,International,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,UNIT V,2,Full Time,F,19-21,Domestic,66,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
196,UNIT V,2,Full Time,M,18 and Under,Domestic,59,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
197,UNIT K,1,Full Time,F,19-21,Domestic,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
198,UNIT A,1,Full Time,F,19-21,Domestic,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199,UNIT C,1,Full Time,F,19-21,Domestic,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,UNIT H,2,Full Time,M,19-21,International,54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201,UNIT X,1,Full Time,M,19-21,International,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202,UNIT Q,2,Full Time,M,22-25,International,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203,UNIT Z,1,Full Time,M,19-21,Domestic,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
204,UNIT S,1,Full Time,M,19-21,Domestic,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205,UNIT M,1,Full Time,F,22-25,International,66,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
206,UNIT X,2,Full Time,F,18 and Under,Domestic,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
207,UNIT A,1,Full Time,M,19-21,Domestic,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
208,UNIT H,2,Full Time,M,19-21,International,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209,UNIT Q,2,Full Time,F,18 and Under,Domestic,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210,UNIT G,2,Full Time,F,19-21,Domestic,79,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
211,UNIT K,1,Full Time,F,18 and Under,Domestic,91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212,UNIT Q,2,Full Time,M,19-21,Domestic,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213,UNIT H,2,Full Time,F,19-21,International,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,UNIT V,2,Full Time,M,19-21,Domestic,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215,UNIT Y,1,Full Time,M,19-21,Domestic,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
216,UNIT O,1,Full Time,F,19-21,Domestic,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,UNIT W,2,Full Time,F,18 and Under,International,90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218,UNIT X,1,Full Time,M,19-21,Domestic,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,UNIT Q,2,Full Time,F,19-21,Domestic,60,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1
220,UNIT O,1,Full Time,F,19-21,International,88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221,UNIT O,1,Full Time,M,19-21,International,38,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
222,UNIT S,2,Full Time,M,19-21,International,35,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
223,UNIT O,1,Full Time,M,19-21,International,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
224,UNIT H,2,Full Time,M,19-21,Domestic,70,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
225,UNIT S,1,Full Time,F,19-21,International,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
226,UNIT H,2,Full Time,F,18 and Under,Domestic,81,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
227,UNIT S,1,Full Time,M,19-21,International,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
228,UNIT Q,2,Full Time,F,19-21,International,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
229,UNIT Y,1,Full Time,M,18 and Under,Domestic,79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
230,UNIT O,1,Full Time,F,Over 25,International,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
231,UNIT K,1,Full Time,M,19-21,Domestic,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
232,UNIT Q,2,Full Time,F,19-21,Domestic,78,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0
233,UNIT A,1,Full Time,M,18 and Under,Domestic,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
234,UNIT K,1,Full Time,F,19-21,Domestic,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
235,UNIT M,1,Full Time,M,22-25,International,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
236,UNIT S,1,Full Time,F,19-21,International,70,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
237,UNIT S,1,Full Time,F,22-25,International,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
